sinonom_char,am_han_viet,all_readings
𢹩,sương,sương
𢹪,tóm,tóm
𢹫,khít,khít
𢹽,giâm,giâm
𢹾,que,que
𢹿,lảy,lảy
𢺀,mò,mò
𢺁,phóc,phóc
𢺍,rạp,rạp
𢺎,rạp,rạp
𢺒,búng,búng
𢺓,dìm,dìm
𢺔,bấu,bấu
𢺛,sởn,sởn
𢺜,trạc,trạc
𢺝,uốn,uốn
𢺤,lườn,lườn
𢺳,mân,mân
𢺹,chia,chia
𢺺,chia,chia
𢽙,vẻ,vẻ
𢽼,và,và
𢽾,hiệu,hiệu
𢿹,sát,sát
𢿼,tuồm,tuồm
𣀟,và,và
𣁔,lớn,lớn
𣁲,đong,đong
𣂃,giạ,giạ
𣂋,gáo,gáo
𣃁,chước,chước
𣃣,vừa,vừa
𣃤,vừa,vừa
𣃱,khuông,khuông
𣃲,vuông,vuông
𣃺,góc,góc
𣄇,vuông,vuông
𣄒,ở,ở
𣄖,vuông,vuông
𣄥,chếch,chếch
𣄬,lệch,lệch
𣅅,nãy,nãy
𣅗,kỉa,kỉa
𣅘,khuya,khuya
𣅙,khuya,khuya
𣅵,tăm,tăm
𣅶,lúc,lúc
𣆄,dương,dương
𣆏,phơi,phơi
𣆐,trưa,trưa
𣆮,chang,chang
𣆯,hẵng,hẵng
𣆰,giây,giây
𣆱,dòn,dòn
𣇀,bô,bô
𣇊,bữa,bữa
𣇜,buổi,buổi
𣇝,rảnh,rảnh
𣇞,giờ,giờ
𣇟,sao,sao
𣇠,kĩa,kĩa
𣇡,kịa,kịa
𣇫,thuở,thuở
𣇶,mốt,mốt
𣈒,kìa,kìa
𣈓,phơi,phơi
𣈔,đêm,đêm
𣈕,mai,mai
𣈖,bóng,bóng
𣈗,ngày,ngày
𣈘,đêm,đêm
𣈙,rầy,rầy
𣈚,chạng,chạng
𣈛,quắt,quắt
𣈜,ngày,ngày
𣈝,cữ,cữ
𣈞,hong,hong
𣈢,tia,tia
𣈰,nau,nau
𣉍,ui,ui
𣉎,trưa,trưa
𣉏,lình,lình
𣉐,thọat,thọat thoạt
𣉞,cảo,cảo
𣉲,chếch,chếch
𣉳,buổi,buổi
𣉴,chói,chói
𣉵,rua,rua
𣉶,háo,háo
𣉷,dễ,dễ
𣉸,kía,kía
𣉹,giờ,giờ
𣊋,se,se
𣊌,nôi,nôi
𣊍,mơ,mơ
𣊎,chớp,chớp
𣊘,ngừ,ngừ
𣊾,bây,bây
𣊿,chiều,chiều
𣋀,sao,sao
𣋁,tối,tối
𣋂,chiều,chiều
𣋃,rạng,rạng
𣋆,nhọang,nhọang nhoạng
𣋇,đổi,đổi
𣋑,dịp,dịp
𣋚,hôm,hôm
𣋛,lát,lát
𣋜,cợm,cợm
𣋝,ráo,ráo
𣋨,xôm,xôm
𣋩,lát,lát
𣋰,bão,bão
𣋱,hẩng,hẩng
𣋻,mịt,mịt
𣋼,giỗ,giỗ
𣋽,sớm,sớm
𣋾,thủa,thủa
𣌁,trưa,trưa
𣌂,trưa,trưa
𣌆,trưa,trưa
𣌉,khuya,khuya
𣌋,sớm,sớm
𣌌,rua,rua
𣌒,đổi,đổi
𣌔,trán,trán
𣌛,trán,trán
𣌝,nắng,nắng
𣌴,ngoặt,ngoặt
𣌵,quặp,quặp
𣌶,còng,còng
𣌹,vạy,vạy
𣌺,xéo,xéo
𣍀,ngúc,ngúc
𣍁,vạy,vạy
𣍂,góc,góc
𣍅,vẹo,vẹo
𣍊,hết,hết
𣍋,cúi,cúi
𣍍,oăm,oăm
𣍕,ngòeo,ngòeo ngoèo
𣍗,còng,còng
𣎀,đêm,đêm
𣎃,tháng,tháng
𣎊,mề,mề
𣎏,có,có
𣎖,chạp,chạp
𣎞,trăng,trăng
𣎢,chiều,chiều
𣎣,khủyu,khủyu khuỷu
𣎦,ráng,ráng
𣎷,ớt,ớt
𣏒,hòn,hòn
𣏢,thuyên,thuyên
𣏾,qua,qua
𣏿,then,then
𣐄,truông,truông
𣐅,nhum,nhum
𣐆,thớt,thớt
𣐝,xốp,xốp
𣐲,quéo,quéo
𣐳,sứ,sứ
𣐴,sậy,sậy
𣑌,trát,trát
𣑎,rơi,rơi
𣑳,chồi,chồi
𣑴,giàn,giàn
𣑵,nhót,nhót
𣑶,rễ,rễ
𣑷,sim,sim
𣑺,trồng,trồng
𣑻,nen,nen
𣒠,vạy,vạy
𣒣,măng,măng
𣒱,xòai,xòai xoài
𣒲,sao,sao
𣒳,cong,cong
𣒴,táu,táu
𣒵,cải,cải
𣒾,vông,vông
𣓆,rườm,rườm
𣓋,sến,sến
𣓌,cao,cao
𣓦,phím,phím
𣓿,lau,lau
𣔓,bễ,bễ
𣔝,đón,đón
𣔞,cui,cui
𣔟,bắp,bắp
𣔠,cần,cần
𣔡,phà,phà
𣔢,xới,xới
𣔣,ngộc,ngộc
𣔤,sứ,sứ
𣔥,chanh,chanh
𣔦,nhài,nhài
𣔧,đó,đó
𣔨,khẳng,khẳng
𣔩,bó,bó
𣔲,quạnh,quạnh
𣔼,cần,cần
𣕘,hay,hay
𣕬,nọc,nọc
𣖖,chày,chày
𣖗,chày,chày
𣖘,hồng,hồng
𣖙,mía,mía
𣖚,ca,ca
𣖛,chót,chót
𣖜,vựa,vựa
𣖝,sề,sề
𣖞,bí,bí
𣖟,ghế,ghế
𣖠,suốt,suốt
𣖡,trắc,trắc
𣖢,trót,trót
𣖧,sòi,sòi
𣗊,man,man
𣗌,mê,mê
𣗑,chạn,chạn
𣗒,chằm,chằm
𣗓,chưa,chưa
𣗪,chà,chà
𣗱,lè,lè
𣗼,vên,vên
𣗾,son,son
𣗿,tủ,tủ
𣘁,cà,cà
𣘂,ươi,ươi
𣘃,cây,cây
𣘄,thớt,thớt
𣘆,nẹp,nẹp
𣘈,son,son
𣘉,cùm,cùm
𣘊,đồ,đồ
𣘌,chóac,chóac choác
𣘓,bẫy,bẫy
𣘽,nâu,nâu
𣘾,vai,vai
𣙙,rắc,rắc
𣙦,trĩ,trĩ
𣙧,nhãn,nhãn
𣙨,bè,bè
𣙩,sồng,sồng
𣙪,mơ,mơ
𣙫,sộp,sộp
𣙬,lặt,lặt
𣙭,giậu,giậu
𣙮,chay,chay
𣙯,rui,rui
𣙷,máng,máng
𣙸,sốt,sốt
𣙹,cốn,cốn
𣙺,mâm,mâm
𣚮,trôm,trôm
𣛟,xanh,xanh
𣛠,máy,máy
𣛡,gụ,gụ
𣛢,vả,vả
𣛣,khay,khay
𣛤,trái,trái
𣛥,be,be
𣛦,đu,đu
𣛧,chuôm,chuôm
𣛨,chèo,chèo
𣛩,then,then
𣛪,tu,tu
𣛭,đu,đu
𣛯,rạo,rạo
𣛱,dom,dom
𣜋,mớ,mớ
𣜰,lim,lim
𣜱,son,son
𣜲,đụn,đụn
𣜳,vông,vông
𣜴,dó,dó
𣜵,hèo,hèo
𣜶,ót,ót
𣜷,sầu,sầu
𣜸,vừng,vừng
𣜻,nhủ,nhủ
𣜾,chửa,chửa
𣜿,nhịp,nhịp
𣝀,cằn,cằn
𣝅,ngái,ngái
𣝉,duối,duối
𣞂,giổi,giổi
𣞃,khù,khù
𣞄,cuối,cuối
𣞅,chũm,chũm
𣞊,sôn,sôn
𣞍,thợ,thợ
𣞎,tràm,tràm
𣞪,mức,mức
𣞶,sến,sến
𣞻,bưởi,bưởi
𣞽,dặng,dặng
𣞾,trầu,trầu
𣟂,khuôn,khuôn
𣟃,mộng,mộng
𣟩,duì,duì
𣟪,nóc,nóc
𣟫,nhãn,nhãn
𣟭,mạ,mạ
𣟮,mềm,mềm
𣠑,bòng,bòng
𣠒,thắm,thắm
𣠓,pheo,pheo
𣠕,chưa,chưa
𣠖,chửa,chửa
𣠗,que,que
𣠘,gàu,gàu
𣠩,tràm,tràm
𣠰,giần,giần
𣠱,trâm,trâm
𣠲,rễ,rễ
𣠳,mềm,mềm
𣠶,đỏ,đỏ
𣠺,nạng,nạng
𣡓,tràm,tràm
𣡙,trái,trái
𣡚,trái,trái
𣡝,vui,vui
𣡤,nén,nén
𣡯,bẫy,bẫy
𣡹,siểng,siểng
𣢹,lỏi,lỏi
𣥱,trải,trải
𣦆,trải,trải
𣦍,ngay,ngay
𣦎,thẳng,thẳng
𣦓,giêng,giêng
𣦛,thẳng,thẳng
𣦮,tuổi,tuổi
𣦰,trải,trải
𣦵,ngạt,ngạt
𣦶,ngạt,ngạt
𣨐,tồ,tồ
𣨕,giã,giã
𣨧,giuộc,giuộc
𣨭,quàn,quàn
𣨮,giẫm,giẫm
𣨰,thác,thác
𣨼,thế,thế
𣩁,chết,chết
𣩂,chết,chết
𣩦,ngóeo,ngóeo ngoéo
𣩸,toi,toi
𣪕,qũy,qũy
𣪘,qũy,qũy
𣫕,đền,đền
𣫲,đừng,đừng
𣫷,vắn,vắn
𣭃,sù,sù
𣭛,bờm,bờm
𣭯,ria,ria
𣭰,mào,mào
𣭻,mau,mau
𣮇,ngù,ngù
𣯡,lông,lông
𣰏,ngòi,ngòi
𣰙,quặm,quặm
𣰳,lông,lông
𣰴,lông,lông
𣰵,lông,lông
𣱆,họ,họ
𣱬,hơi,hơi
𣱭,bủm,bủm
𣱰,rắm,rắm
𣱶,vục,vục
𣱼,đao,đao
𣱽,lầy,lầy
𣱾,lẻo,lẻo
𣱿,nhớp,nhớp
𣲍,ngụt,ngụt
𣲗,vy,vy
𣲝,băng,băng
𣲠,ngớt,ngớt
𣲦,sểu,sểu
𣲹,nhèm,nhèm
𣳔,dòng,dòng
𣳡,mồ,mồ
𣳢,ngòi,ngòi
𣳨,đôi,đôi
𣳪,lượi,lượi
𣳮,lả,lả
𣴓,cạn,cạn
𣴙,đư,đư
𣴚,hụp,hụp
𣴛,nhúng,nhúng
𣴜,thác,thác
𣵮,bưng,bưng
𣵯,xôi,xôi
𣵰,lặn,lặn
𣵲,bợn,bợn
𣵴,ngấm,ngấm
𣵵,ngập,ngập
𣵶,xuôi,xuôi
𣶈,vóng,vóng
𣷠,mênh,mênh
𣷭,bể,bể
𣷮,lội,lội
𣷯,cặn,cặn
𣷰,nhơm,nhơm
𣷱,sữa,sữa
𣷲,sữa,sữa
𣷳,đáy,đáy
𣷴,vẻo,vẻo
𣷷,biển,biển
𣸣,phún,phún
𣸧,thâm,thâm
𣹓,đầy,đầy
𣹔,hỏanh,hỏanh hoảnh
𣹕,lụt,lụt
𣹖,tồ,tồ
𣹗,tràn,tràn
𣹘,dãi,dãi
𣹙,ọ,ọ
𣹟,cống,cống
𣺺,dò,dò
𣺻,đắm,đắm
𣺼,đỏang,đỏang đoảng
𣺽,bãi,bãi
𣺾,nhựa,nhựa
𣻀,nuột,nuột
𣻁,chặm,chặm
𣻂,sết,sết
𣻃,bụi,bụi
𣻄,sờ,sờ
𣻅,cát,cát
𣻆,tuôn,tuôn
𣻇,xối,xối
𣻈,bỏng,bỏng
𣻉,dưới,dưới
𣻕,mà,mà
𣻗,dề,dề
𣻽,kênh,kênh
𣻾,nít,nít
𣼍,són,són
𣼩,ẩm,ẩm
𣼪,bớt,bớt
𣼫,chã,chã
𣼬,đểnh,đểnh
𣼭,dồi,dồi
𣼮,thìa,thìa
𣼯,vùi,vùi
𣼰,lùng,lùng
𣼱,ngàu,ngàu
𣼲,doi,doi
𣼳,xọp,xọp
𣼴,nhẵng,nhẵng
𣼶,vẩn,vẩn
𣼷,lớt,lớt
𣼸,nhợt,nhợt
𣼹,dợn,dợn
𣼺,mèm,mèm
𣼼,tràn,tràn
𣼽,lắng,lắng
𣼾,lẻo,lẻo
𣽀,ngấu,ngấu
𣽆,veo,veo
𣽊,thỏi,thỏi
𣽽,san,san
𣾃,ngót,ngót
𣾵,chọet,chọet choẹt
𣾶,dội,dội
𣾸,đìa,đìa
𣾹,giặt,giặt
𣾺,khơi,khơi
𣾻,chã,chã
𣾼,vượt,vượt
𣾽,xối,xối
𣾾,bụi,bụi
𣾿,ói,ói
𣿃,ngấu,ngấu
𣿅,rỏng,rỏng
𣿇,đắm,đắm
𣿌,ạt,ạt
𤀏,thía,thía
𤀐,đáy,đáy
𤀒,nhỏ,nhỏ
𤀓,lọc,lọc
𤀔,ẩm,ẩm
𤀕,ráy,ráy
𤀖,ngoi,ngoi
𤀗,rửa,rửa
𤀘,vùng,vùng
𤀙,ồ,ồ
𤀚,lượn,lượn
𤀛,lầy,lầy
𤀜,tành,tành
𤀞,chứa,chứa
𤁓,dào,dào
𤁔,khơi,khơi
𤁕,lạt,lạt
𤁖,lõa,lõa loã
𤁘,trong,trong
𤁙,bớt,bớt
𤁛,chửa,chửa
𤁠,dào,dào
𤁣,bãi,bãi
𤁩,giợt,giợt
𤂧,bồng,bồng
𤂨,mò,mò
𤂩,rửa,rửa
𤂪,dấn,dấn
𤂫,phùn,phùn
𤂬,lội,lội
𤂭,tóe,tóe toé
𤂱,rề,rề
𤂷,ứ,ứ
𤃛,bều,bều
𤃜,leo,leo
𤃝,rách,rách
𤃞,mương,mương
𤃟,úng,úng
𤃠,nổi,nổi
𤃡,rãnh,rãnh
𤃢,lõm,lõm
𤃤,nhão,nhão
𤃥,rèm,rèm
𤃧,thướt,thướt
𤄋,tỏng,tỏng
𤄌,giết,giết
𤄍,rượu,rượu
𤄭,rề,rề
𤄮,nhiều,nhiều
𤄯,trong,trong
𤄰,nhăn,nhăn
𤄱,dẫn,dẫn
𤄲,cấn,cấn
𤅉,ráng,ráng
𤅜,veo,veo
𤅧,xổn,xổn
𤅶,biển,biển
𤆈,nảy,nảy
𤆍,xích,xích
𤆷,lóa,lóa loá
𤆸,tom,tom
𤆹,nhá,nhá
𤆺,hóng,hóng
𤆻,thếp,thếp
𤇊,bừng,bừng
𤇌,kho,kho
𤇢,vặc,vặc
𤇣,xên,xên
𤇤,xáo,xáo
𤇥,lập,lập
𤇦,mò,mò
𤇧,sấy,sấy
𤇨,phơi,phơi
𤇩,tắt,tắt
𤇪,chín,chín
𤇮,bép,bép
𤇲,nhúm,nhúm
𤈜,cháy,cháy
𤈝,nghẹ,nghẹ
𤈞,lùi,lùi
𤈟,nhừ,nhừ
𤈠,sốt,sốt
𤈡,ngút,ngút
𤈤,hông,hông
𤈪,chớ,chớ
𤉒,giãi,giãi
𤉓,tro,tro
𤉔,tác,tác
𤉕,tro,tro
𤉖,se,se
𤉗,héo,héo
𤉘,ngún,ngún
𤉚,sôi,sôi
𤉛,tòa,tòa toà
𤉜,ràng,ràng
𤉠,chườm,chườm
𤊒,luộc,luộc
𤊠,rọi,rọi
𤊡,bóng,bóng
𤊢,ngời,ngời
𤊣,tro,tro
𤊤,nhem,nhem
𤊥,lừng,lừng
𤊦,phỏng,phỏng
𤊧,rực,rực
𤊨,vặc,vặc
𤊩,rom,rom
𤊪,rỡ,rỡ
𤊫,phơi,phơi
𤊬,phơi,phơi
𤊭,lốm,lốm
𤊰,bén,bén
𤋵,dãi,dãi
𤋶,rành,rành
𤋷,nấu,nấu
𤋸,khét,khét
𤋹,kho,kho
𤋻,phới,phới
𤋼,kho,kho
𤋽,chới,chới
𤋾,um,um
𤋿,đốt,đốt
𤌀,kíp,kíp
𤌄,chả,chả
𤌅,nháng,nháng
𤌋,khói,khói
𤌣,rát,rát
𤍃,hây,hây
𤍄,tỏ,tỏ
𤍅,rệt,rệt
𤍆,ngốt,ngốt
𤍇,nấu,nấu
𤍉,ngùn,ngùn
𤍊,tỏ,tỏ
𤍋,hực,hực
𤍌,thiêng,thiêng
𤍑,chong,chong
𤍠,nhiệt,nhiệt
𤍶,lòa,lòa loà
𤎍,quắc,quắc
𤎎,mờ,mờ
𤎏,nóng,nóng
𤎐,nực,nực
𤎑,mõm,mõm
𤎒,phấp,phấp
𤎓,thiêng,thiêng
𤎔,rạng,rạng
𤎕,tắt,tắt
𤎛,rấm,rấm
𤎜,rậng,rậng
𤎱,tỏan,tỏan
𤏢,nhội,nhội
𤏣,tỏ,tỏ
𤏤,hơ,hơ
𤏥,thui,thui
𤏦,khét,khét
𤏧,thắp,thắp
𤏨,se,se
𤏪,rao,rao
𤏫,buốt,buốt
𤏬,rạng,rạng
𤐓,khê,khê
𤐚,hâm,hâm
𤐛,nấu,nấu
𤐜,ngòi,ngòi
𤐝,soi,soi
𤐠,luộc,luộc
𤐡,khói,khói
𤑈,chang,chang
𤑉,rỡ,rỡ
𤑍,hửng,hửng
𤑕,huân,huân
𤑟,rõ,rõ
𤑫,bùng,bùng
𤑬,lóe,lóe loé
𤑭,lói,lói
𤑮,mồ,mồ
𤑯,sém,sém
𤒘,đuốc,đuốc
𤒙,chín,chín
𤒚,nung,nung
𤒛,nấu,nấu
𤒟,nhùi,nhùi
𤒠,đỏ,đỏ
𤒢,lốm,lốm
𤒦,sém,sém
𤒲,chờn,chờn
𤒴,thắp,thắp
𤓆,ram,ram
𤓇,quầng,quầng
𤓛,dìu,dìu
𤓢,nến,nến
𤓩,bén,bén
𤓺,vấu,vấu
𤔛,sụ,sụ
𤔯,vuốt,vuốt
𤔷,dành,dành
𤔻,móng,móng
𤔽,móng,móng
𤔾,móng,móng
𤕈,luyến,luyến
𤕔,cha,cha
𤕪,bản,bản
𤕭,tướng,tướng
𤕯,tương,tương
𤖡,rìu,rìu
𤖶,bánh,bánh
𤖸,chũa,chũa
𤖹,lớp,lớp
𤗆,múi,múi
𤗖,mảnh,mảnh
𤗤,cổng,cổng
𤗲,tấm,tấm
𤗹,phướn,phướn
𤘁,mỏng,mỏng
𤘂,mỏng,mỏng
𤘋,ngà,ngà
𤘓,nanh,nanh
𤙭,bò,bò
𤙮,ngàu,ngàu
𤚆,bê,bê
𤚇,nghé,nghé
𤚦,cộ,cộ
𤚧,sao,sao
𤛇,chăn,chăn
𤛞,nghé,nghé
𤛠,trâu,trâu
𤜠,nái,nái
𤜬,săn,săn
𤜭,tử,tử
𤜯,cọp,cọp
𤝋,vằn,vằn
𤝑,mướp,mướp
𤝞,chuột,chuột
𤝫,nhím,nhím
𤝹,chù,chù
𤞐,chồn,chồn
𤞑,hòi,hòi
𤞒,ngỗng,ngỗng
𤞓,săn,săn
𤞔,thấc,thấc
𤞕,tấy,tấy
𤞖,lòi,lòi
𤞘,sề,sề
𤞤,hiểm,hiểm
𤞦,mọi,mọi
𤞧,khọn,khọn
𤞨,bò,bò
𤞩,rợ,rợ
𤞪,rợ,rợ
𤞫,rái,rái
𤞺,cáo,cáo
𤞻,hùm,hùm
𤞼,lợn,lợn
𤞽,mường,mường
𤟂,độc,độc
𤟛,thỏ,thỏ
𤠂,đười,đười
𤠃,kễnh,kễnh
𤠄,gà,gà
𤠅,voi,voi
𤠆,ươi,ươi
𤠋,trâu,trâu
𤠚,chó,chó
𤠤,hoẵng,hoẵng
𤠰,gấu,gấu
𤠱,ươi,ươi
𤠲,khái,khái
𤠳,khỉ,khỉ
𤠴,vượn,vượn
𤠶,chằn,chằn
𤠷,sề,sề
𤠹,rái,rái
𤡁,mãn,mãn
𤡌,muông,muông
𤡚,khái,khái
𤡛,nanh,nanh
𤡮,nhiên,nhiên nhen
𤢇,vuốt,vuốt
𤢈,săn,săn
𤢔,nhen,nhen
𤢕,dịch,dịch
𤢗,lòi,lòi
𤢤,bẵm,bẵm
𤢥,vượn,vượn
𤢪,lốp,lốp
𤢫,ngáo,ngáo
𤢬,đười,đười
𤢽,nhắt,nhắt
𤢾,nhím,nhím
𤢿,sói,sói
𤣄,beo,beo
𤣚,nhím,nhím
𤣡,dọc,dọc
𤤰,vua,vua
𤥑,vòng,vòng
𤥭,xà,xà
𤩡,tuyền,tuyền
𤩽,hòan,hòan
𤪊,cườm,cườm
𤫿,dưa,dưa
𤬀,dưa,dưa
𤬈,hấu,hấu
𤬪,ngói,ngói
𤬲,ngói,ngói
𤬸,sành,sành
𤭚,gáo,gáo
𤭵,ấm,ấm
𤭶,hông,hông
𤭷,chậu,chậu
𤭸,bình,bình
𤮃,ang,ang
𤮄,gạch,gạch
𤮑,be,be
𤮒,hũ,hũ
𤮗,lọ,lọ
𤮘,gạch,gạch
𤮞,ngói,ngói
𤮟,ngói,ngói
𤮠,muống,muống
𤮥,âu,âu
𤮨,lung,lung
𤮾,ngọt,ngọt
𤮿,ngọt,ngọt
𤯆,ngon,ngon
𤯊,chè,chè
𤯑,lắm,lắm
𤯨,sống,sống
𤯩,sống,sống
𤯭,sánh,sánh
𤯰,đẻ,đẻ
𤯱,gã,gã
𤯶,cữ,cữ
𤯺,siêng,siêng
𤯿,đẻ,đẻ
𤰁,cữ,cữ
𤱈,mẫu,mẫu
𤲂,dưới,dưới
𤲌,ruộng,ruộng
𤲼,dái,dái
𤳄,bởi,bởi
𤳆,trai,trai
𤳇,trai,trai
𤳢,trống,trống
𤳧,lạ,lạ
𤳨,rộc,rộc
𤳰,ve,ve
𤳱,ruộng,ruộng
𤳷,bởi,bởi
𤳸,bởi,bởi
𤳽,ruộng,ruộng
𤴏,lạ,lạ
𤴐,lôi,lôi
𤴥,ngất,ngất
𤴪,ghẻ,ghẻ
𤴬,đau,đau
𤴭,bớt,bớt
𤴵,nhức,nhức
𤴶,sởi,sởi
𤵊,đòn,đòn
𤵕,khờ,khờ
𤵖,vết,vết
𤵪,sẹo,sẹo
𤵳,bón,bón
𤵴,sảy,sảy
𤵶,si,si
𤵺,dại,dại
𤶄,nhặm,nhặm
𤶈,tấy,tấy
𤶊,hội,hội
𤶎,chau,chau
𤶏,chóang,chóang choáng
𤶐,chồn,chồn
𤶑,nhăn,nhăn
𤶒,ben,ben
𤶙,chá,chá
𤶜,chóang,chóang choáng
𤶹,guộc,guộc
𤶺,xỏai,xỏai xoải
𤶻,nghén,nghén
𤶼,mâng,mâng
𤶽,mụt,mụt
𤶾,lằn,lằn
𤶿,hầu,hầu
𤷂,phị,phị
𤷄,quèn,quèn
𤷒,tê,tê
𤷭,điếc,điếc
𤷮,váng,váng
𤷯,lóet,lóet loét
𤷰,bủng,bủng
𤷱,mòn,mòn
𤷲,sần,sần
𤷳,nhom,nhom
𤷴,ê,ê
𤷵,phờ,phờ
𤷶,bướu,bướu
𤸒,ngúng,ngúng
𤸧,hoen,hoen
𤸨,xìu,xìu
𤸭,rồ,rồ
𤹑,rôm,rôm
𤹒,khừ,khừ
𤹓,quặn,quặn
𤹔,báng,báng
𤹕,ươn,ươn
𤹖,hen,hen
𤹗,ỏng,ỏng
𤹘,nhọc,nhọc
𤹙,chốc,chốc
𤹚,nhức,nhức
𤹼,bướu,bướu
𤹽,nốt,nốt
𤹾,hủi,hủi
𤹿,ngơ,ngơ
𤺭,buốt,buốt
𤺮,gúa,gúa
𤺯,mụn,mụn
𤺰,khom,khom
𤺱,nhèn,nhèn
𤺲,sởn,sởn
𤺳,tê,tê
𤺴,bướu,bướu
𤺵,ốm,ốm
𤺶,ngứa,ngứa
𤻎,cúm,cúm
𤻏,hủi,hủi
𤻐,hom,hom
𤻑,rêm,rêm
𤻒,toi,toi
𤻓,gầy,gầy
𤻔,ngứa,ngứa
𤻪,nhó,nhó
𤻫,nhối,nhối
𤻬,thượt,thượt
𤻭,ngứa,ngứa
𤻳,luỗi,luỗi
𤻻,mệt,mệt
𤻼,rỗ,rỗ
𤻽,xải,xải
𤻾,rạn,rạn
𤼓,rôm,rôm
𤼔,ngợm,ngợm
𤼕,nhức,nhức
𤼞,gầy,gầy
𤼸,dâng,dâng
𤽀,trẻo,trẻo
𤽗,ngươi,ngươi
𤽴,hếu,hếu
𤽵,phau,phau
𤽶,vía,vía
𤽸,trắng,trắng
𤾓,trăm,trăm
𤾔,vang,vang
𤾟,hớ,hớ
𤾯,mởn,mởn
𤾰,ngươi,ngươi
𤾱,nhênh,nhênh
𤾷,phếch,phếch
𤿍,vỏ,vỏ
𤿤,bè,bè
𤿦,da,da
𤿭,vỏ,vỏ
𤿰,trống,trống
𤿱,bịt,bịt
𥀌,giày,giày
𥀪,ủng,ủng
𥀳,mo,mo
𥁕,ôn,ôn
𥁷,vịm,vịm
𥂁,diêm,diêm
𥂉,trộm,trộm
𥃑,mâm,mâm
𥃚,mâm,mâm
𥃛,mâm,mâm
𥃞,hết,hết
𥃨,vúc,vúc
𥃱,nhắp,nhắp
𥄫,mập,mập
𥄬,ngủ,ngủ
𥄭,ngó,ngó
𥄮,nhắm,nhắm
𥄯,ngơm,ngơm
𥄰,nhơn,nhơn
𥅃,nhớn,nhớn
𥅘,nháy,nháy
𥅞,thức,thức
𥅦,lồi,lồi
𥅲,chau,chau
𥅴,tiếp,tiếp
𥅿,chợp,chợp
𥆀,giương,giương
𥆁,liếc,liếc
𥆂,nhằm,nhằm
𥆃,nhơ,nhơ
𥆄,quáng,quáng
𥆟,đóai,đóai đoái
𥆡,dòm,dòm
𥆧,nhuần,nhuần
𥆹,ngớp,ngớp
𥆺,dấu,dấu
𥆻,rử,rử
𥆼,lé,lé
𥆽,ngỏm,ngỏm
𥆾,nhìn,nhìn
𥆿,quàu,quàu
𥇀,màng,màng
𥇁,trố,trố
𥇂,bét,bét
𥇈,nhốn,nhốn
𥇶,him,him
𥇷,nhòm,nhòm
𥇸,nhác,nhác
𥇹,ngái,ngái
𥇺,trợn,trợn
𥇻,trố,trố
𥇼,nhõi,nhõi
𥇽,nhõ,nhõ
𥈁,nghểnh,nghểnh
𥈟,tẩu,tẩu
𥈢,mí,mí
𥈭,ngác,ngác
𥈯,láy,láy
𥈰,hóng,hóng
𥈱,nhìn,nhìn
𥈲,ngấp,ngấp
𥈳,chột,chột
𥈴,ngước,ngước
𥈵,nhớn,nhớn
𥈶,nom,nom
𥈹,nhòm,nhòm
𥈺,dòm,dòm
𥈿,ngóng,ngóng
𥉩,trông,trông
𥉪,háy,háy
𥉫,trông,trông
𥉬,lét,lét
𥉭,trít,trít
𥉮,sọc,sọc
𥉯,khỏe,khỏe khoẻ
𥉰,dòm,dòm
𥉲,trợn,trợn
𥉸,ghèn,ghèn
𥊀,xăm,xăm
𥊖,đui,đui
𥊗,gượm,gượm
𥊘,ghé,ghé
𥊙,mòm,mòm
𥊚,mờ,mờ
𥊛,trông,trông
𥊜,ngúyt,ngúyt nguýt
𥊝,chớp,chớp
𥊞,quắc,quắc
𥊟,nhăn,nhăn
𥊠,sòng,sòng
𥊡,nhỏn,nhỏn
𥊢,thẳng,thẳng
𥊣,thẳng,thẳng
𥊤,ngươi,ngươi
𥊥,dòm,dòm
𥊦,mù,mù
𥊴,tóet,tóet toét
𥋒,tré,tré
𥋓,ngỏanh,ngỏanh ngoảnh
𥋔,trừng,trừng
𥋕,trộm,trộm
𥋟,ngươi,ngươi
𥋲,lem,lem
𥋳,coi,coi
𥋴,ngắm,ngắm
𥋵,him,him
𥋶,lấm,lấm
𥋷,liếc,liếc
𥋸,soi,soi
𥋹,ngáy,ngáy
𥋺,dòm,dòm
𥋼,gườm,gườm
𥋽,tráo,tráo
𥌀,xét,xét
𥌃,nháy,nháy
𥌈,trộm,trộm
𥌎,nhó,nhó
𥌙,nhó,nhó
𥌥,khóe,khóe khoé
𥌦,lén,lén
𥌧,ló,ló
𥌫,trợn,trợn
𥌬,nhìn,nhìn
𥌷,hiếng,hiếng
𥌸,dim,dim
𥌹,ngắm,ngắm
𥍍,lom,lom
𥍎,ngóng,ngóng
𥍑,ghẹo,ghẹo
𥍒,chăm,chăm
𥍖,trõm,trõm
𥍘,nheo,nheo
𥍛,ngom,ngom
𥎁,mềm,mềm
𥏋,tên,tên
𥏌,tên,tên
𥏍,tên,tên
𥏿,vắn,vắn
𥐆,vắn,vắn
𥐇,ngắn,ngắn
𥐈,số,số
𥐉,ngắn,ngắn
𥐋,ngủi,ngủi
𥐍,ngắn,ngắn
𥐏,cộc,cộc
𥐐,ngủn,ngủn
𥐒,cụt,cụt
𥐔,vắn,vắn
𥐘,thạch,thạch
𥐟,nghị,nghị
𥐦,dĩa,dĩa
